periodo,estu_consecutivo,cole_area_ubicacion,cole_bilingue,cole_calendario,cole_genero,cole_jornada,cole_naturaleza,cole_depto_ubicacion,cole_mcpio_ubicacion,estu_genero,fami_estratovivienda,fami_personashogar,fami_tienecomputador,fami_tieneinternet,desemp_ingles,punt_ingles,punt_matematicas,punt_sociales_ciudadanas,punt_c_naturales,punt_lectura_critica,punt_global
20162,SB11201620088015,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,NARIÑO,CONTADERO,F,Estrato 1,Tres,No,No,A1,53.0,58.0,49.0,53.0,56.0,270.0
20132,SB11201320295906,URBANO,N,A,MIXTO,SABATINA,NO OFICIAL,CORDOBA,SAHAGÚN,M,Estrato 1,Seis,No,No,A-,37.0,31.0,,,,
20152,SB11201520533906,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOLIVAR,CARTAGENA,M,Estrato 1,Cinco,No,No,A1,53.0,55.0,56.0,52.0,53.0,270.0
20194,SB11201940432674,RURAL,,A,MIXTO,COMPLETA,OFICIAL,ANTIOQUIA,DABEIBA,M,Estrato 1,5 a 6,No,No,A-,29.0,39.0,41.0,38.0,51.0,206.0
20194,SB11201940432674,RURAL,,A,MIXTO,COMPLETA,OFICIAL,ANTIOQUIA,DABEIBA,M,Estrato 1,5 a 6,No,No,A-,29.0,39.0,41.0,38.0,51.0,206.0
20162,SB11201620538998,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,BOYACA,TUTA,F,Estrato 2,Tres,No,No,A-,43.0,38.0,46.0,41.0,51.0,219.0
20152,SB11201520240602,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOLIVAR,CARTAGENA,M,Estrato 1,Tres,No,No,A-,46.0,44.0,39.0,43.0,50.0,221.0
20194,SB11201940228728,URBANO,,A,MIXTO,MAÑANA,OFICIAL,META,VILLAVICENCIO,M,Estrato 1,7 a 8,Si,Si,A-,47.0,60.0,50.0,52.0,64.0,279.0
20224,SB11202240549969,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,QUINDIO,ARMENIA,F,Estrato 2,3 a 4,No,Si,A-,44.0,42.0,46.0,43.0,40.0,214.0
20194,SB11201940228728,URBANO,,A,MIXTO,MAÑANA,OFICIAL,META,VILLAVICENCIO,M,Estrato 1,7 a 8,Si,Si,A-,47.0,60.0,50.0,52.0,64.0,279.0
20211,SB11202110001547,RURAL,S,B,MIXTO,COMPLETA,NO OFICIAL,CUNDINAMARCA,SOPÓ,M,Estrato 4,3 a 4,Si,Si,B+,83.0,74.0,64.0,61.0,69.0,341.0
20181,SB11201810028234,URBANO,N,B,MIXTO,MAÑANA,NO OFICIAL,VALLE,CALI,M,Estrato 5,3 a 4,Si,Si,A1,52.0,34.0,32.0,41.0,44.0,194.0
20181,SB11201810028234,URBANO,N,B,MIXTO,MAÑANA,NO OFICIAL,VALLE,CALI,M,Estrato 5,3 a 4,Si,Si,A1,52.0,34.0,32.0,41.0,44.0,194.0
20162,SB11201620507668,URBANO,,A,MIXTO,MAÑANA,OFICIAL,ATLANTICO,MALAMBO,M,Estrato 1,Cinco,No,No,A-,33.0,58.0,45.0,49.0,47.0,243.0
20194,SB11201940047149,URBANO,N,A,MIXTO,SABATINA,OFICIAL,BOLIVAR,EL CARMEN DE BOLÍVAR,M,Estrato 2,3 a 4,No,No,A-,27.0,39.0,32.0,45.0,38.0,188.0
20194,SB11201940047149,URBANO,N,A,MIXTO,SABATINA,OFICIAL,BOLIVAR,EL CARMEN DE BOLÍVAR,M,Estrato 2,3 a 4,No,No,A-,27.0,39.0,32.0,45.0,38.0,188.0
20102,SB11201020535409,URBANO,N,A,MIXTO,TARDE,OFICIAL,VALLE,CALI,M,Estrato 2,Cuatro,Si,No,A-,44.51,42.4,,,,
20121,SB11201210095235,RURAL,,A,MIXTO,COMPLETA,NO OFICIAL,ANTIOQUIA,SAN LUIS,M,Estrato 2,Seis,No,No,A-,43.0,49.0,,,,
20194,SB11201940220909,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOLIVAR,CANTAGALLO,F,Estrato 4,3 a 4,Si,No,A-,41.0,44.0,38.0,41.0,49.0,214.0
20194,SB11201940220909,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOLIVAR,CANTAGALLO,F,Estrato 4,3 a 4,Si,No,A-,41.0,44.0,38.0,41.0,49.0,214.0
20152,SB11201520122972,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,META,VISTA HERMOSA,F,Estrato 2,Cuatro,Si,Si,A1,49.0,41.0,54.0,42.0,46.0,230.0
20194,SB11201940273754,URBANO,N,A,MIXTO,UNICA,OFICIAL,NORTE SANTANDER,VILLA DEL ROSARIO,F,Estrato 1,5 a 6,Si,Si,A-,37.0,45.0,50.0,51.0,47.0,237.0
20194,SB11201940273754,URBANO,N,A,MIXTO,UNICA,OFICIAL,NORTE SANTANDER,VILLA DEL ROSARIO,F,Estrato 1,5 a 6,Si,Si,A-,37.0,45.0,50.0,51.0,47.0,237.0
20102,SB11201020442591,URBANO,N,A,MIXTO,TARDE,OFICIAL,CESAR,VALLEDUPAR,F,Estrato 1,Tres,No,No,A-,32.9,45.38,,,,
20152,SB11201520545981,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,MAGDALENA,SANTA MARTA,M,Estrato 1,Seis,Si,Si,A1,52.0,34.0,47.0,51.0,44.0,223.0
20142,SB11201420483456,URBANO,N,A,MIXTO,MAÑANA,NO OFICIAL,CUNDINAMARCA,FUSAGASUGA,F,Estrato 2,Seis,No,No,A-,48.0,39.0,46.0,50.0,48.0,230.0
20152,SB11201520057969,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,QUINDIO,QUIMBAYA,F,Estrato 1,Cuatro,No,No,A1,49.0,47.0,45.0,44.0,54.0,238.0
20194,SB11201940399723,URBANO,,OTRO,MIXTO,MAÑANA,NO OFICIAL,BOGOTÁ,BOGOTÁ D.C.,M,Estrato 2,5 a 6,Si,Si,A-,26.0,38.0,59.0,56.0,47.0,241.0
20194,SB11201940399723,URBANO,,OTRO,MIXTO,MAÑANA,NO OFICIAL,BOGOTÁ,BOGOTÁ D.C.,M,Estrato 2,5 a 6,Si,Si,A-,26.0,38.0,59.0,56.0,47.0,241.0
20194,SB11201940195672,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOGOTÁ,BOGOTÁ D.C.,F,Estrato 1,1 a 2,No,No,A-,33.0,36.0,33.0,41.0,36.0,181.0
20194,SB11201940195672,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOGOTÁ,BOGOTÁ D.C.,F,Estrato 1,1 a 2,No,No,A-,33.0,36.0,33.0,41.0,36.0,181.0
20194,SB11201940232415,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,MEDELLÍN,M,Estrato 2,3 a 4,Si,Si,B1,73.0,75.0,59.0,69.0,65.0,337.0
20194,SB11201940232415,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,MEDELLÍN,M,Estrato 2,3 a 4,Si,Si,B1,73.0,75.0,59.0,69.0,65.0,337.0
20102,SB11201020043792,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,TOLIMA,IBAGUÉ,F,,,,,A-,48.42,60.51,,,,
20152,SB11201520117805,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,SANTANDER,BARBOSA,F,Estrato 1,Cuatro,No,No,A1,53.0,47.0,52.0,42.0,57.0,249.0
20112,SB11201120056209,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,ZIPAQUIRÁ,F,Estrato 3,Siete,Si,Si,A-,34.0,43.0,,,,
20102,SB11201020093420,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,META,VILLAVICENCIO,F,Estrato 3,Seis,Si,Si,A-,47.15,48.17,,,,
20112,SB11201120454013,RURAL,,A,MIXTO,TARDE,OFICIAL,CORDOBA,BUENAVISTA,M,Estrato 1,Cinco,No,No,A1,50.0,41.0,,,,
20112,SB11201120048719,URBANO,N,A,MIXTO,SABATINA,OFICIAL,RISARALDA,PEREIRA,F,Estrato 1,Dos,No,No,A-,27.0,16.0,,,,
20102,SB11201020123948,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,ANTIOQUIA,LA ESTRELLA,F,Estrato 5,Seis,Si,Si,B1,79.4,45.38,,,,
20162,SB11201620454840,URBANO,,A,MIXTO,MAÑANA,OFICIAL,META,VILLAVICENCIO,M,Estrato 1,Cinco,Si,Si,A1,55.0,33.0,44.0,37.0,38.0,197.0
20112,SB11201120432373,URBANO,N,A,MIXTO,TARDE,OFICIAL,CAUCA,SANTANDER DE QUILICHAO,M,Estrato 3,Cinco,Si,No,A1,43.0,85.0,,,,
20132,SB11201320260980,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,SOACHA,M,Estrato 2,Cinco,No,No,A1,47.0,38.0,,,,
20194,SB11201940440939,URBANO,N,A,MIXTO,COMPLETA,OFICIAL,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,F,Estrato 2,3 a 4,Si,Si,A2,61.0,66.0,68.0,62.0,68.0,328.0
20194,SB11201940440939,URBANO,N,A,MIXTO,COMPLETA,OFICIAL,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,F,Estrato 2,3 a 4,Si,Si,A2,61.0,66.0,68.0,62.0,68.0,328.0
20102,SB11201020395585,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOYACA,TUNJA,F,Estrato 2,Seis,No,No,A-,44.51,55.89,,,,
20142,SB11201420520149,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,M,Estrato 5,Cinco,Si,Si,A1,53.0,55.0,69.0,52.0,55.0,287.0
20142,SB11201420544943,URBANO,N,A,MIXTO,TARDE,OFICIAL,ANTIOQUIA,TURBO,M,Estrato 1,Cuatro,No,No,A1,49.0,41.0,35.0,59.0,51.0,233.0
20194,SB11201940231838,URBANO,N,A,FEMENINO,UNICA,OFICIAL,ATLANTICO,SABANAGRANDE,F,Estrato 1,5 a 6,No,No,A-,46.0,47.0,50.0,39.0,57.0,240.0
20194,SB11201940231838,URBANO,N,A,FEMENINO,UNICA,OFICIAL,ATLANTICO,SABANAGRANDE,F,Estrato 1,5 a 6,No,No,A-,46.0,47.0,50.0,39.0,57.0,240.0
20162,SB11201620297808,URBANO,N,A,MIXTO,NOCHE,OFICIAL,CHOCO,QUIBDO,F,Estrato 1,Cinco,Si,Si,A-,36.0,29.0,40.0,43.0,44.0,193.0
20111,SB11201110044727,URBANO,,A,MIXTO,MAÑANA,NO OFICIAL,VALLE,SEVILLA,F,Estrato 2,Tres,Si,No,A1,45.63,38.84,,,,
20122,SB11201220346532,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 1,Cinco,Si,Si,A1,47.0,56.0,,,,
20112,SB11201120077692,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,LA GUAJIRA,RIOHACHA,F,Estrato 1,Ocho,No,No,A-,14.0,35.0,,,,
20172,SB11201720222530,URBANO,N,A,MIXTO,TARDE,OFICIAL,SUCRE,SINCELEJO,F,Estrato 2,3 a 4,Si,Si,B1,70.0,70.0,70.0,65.0,69.0,343.0
20112,SB11201120334818,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 3,Cinco,Si,Si,A1,52.0,60.0,,,,
20162,SB11201620031937,URBANO,,A,MIXTO,TARDE,OFICIAL,BOGOTA,BOGOTÁ D.C.,M,Estrato 2,Cinco,No,No,A1,48.0,65.0,59.0,59.0,61.0,299.0
20152,SB11201520029939,URBANO,N,A,MIXTO,NOCHE,OFICIAL,MAGDALENA,PIVIJAY,M,Estrato 1,Tres,No,No,A-,43.0,37.0,43.0,37.0,30.0,186.0
20194,SB11201940093213,URBANO,N,A,MIXTO,UNICA,OFICIAL,CUNDINAMARCA,PUERTO SALGAR,M,Estrato 1,3 a 4,Si,No,A1,55.0,60.0,58.0,60.0,55.0,290.0
20194,SB11201940093213,URBANO,N,A,MIXTO,UNICA,OFICIAL,CUNDINAMARCA,PUERTO SALGAR,M,Estrato 1,3 a 4,Si,No,A1,55.0,60.0,58.0,60.0,55.0,290.0
20162,SB11201620487703,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,GUARNE,F,Estrato 2,Cuatro,Si,No,A-,38.0,44.0,47.0,50.0,43.0,227.0
20142,SB11201420027062,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,TOLIMA,MELGAR,F,Estrato 1,Ocho,No,No,A-,45.0,44.0,47.0,44.0,47.0,227.0
20162,SB11201620338359,RURAL,,A,MIXTO,COMPLETA,NO OFICIAL,SANTANDER,GUADALUPE,M,Estrato 1,Dos,No,No,A-,39.0,40.0,49.0,42.0,45.0,220.0
20162,SB11201620088230,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,LA GUAJIRA,FONSECA,F,Estrato 2,Cinco,No,No,A1,54.0,62.0,55.0,60.0,62.0,298.0
20152,SB11201520254195,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,VALLE,TULUA,M,Estrato 2,Cuatro,No,Si,A-,46.0,38.0,38.0,47.0,38.0,203.0
20102,SB11201020146917,URBANO,N,A,MIXTO,COMPLETA,OFICIAL,ANTIOQUIA,ENVIGADO,F,Estrato 3,Tres,Si,Si,A1,59.67,75.41,,,,
20132,SB11201320425140,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTA,"BOGOTÁ, D.C.",F,Estrato 1,Ocho,No,No,A1,47.0,38.0,,,,
20162,SB11201620370032,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,CAUCA,BUENOS AIRES,F,Estrato 2,Ocho,Si,Si,A-,47.0,43.0,47.0,53.0,51.0,242.0
20122,SB11201220318836,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 1,Doce o más,No,Si,A-,30.0,43.0,,,,
20172,SB11201720112854,RURAL,,A,MIXTO,COMPLETA,OFICIAL,ANTIOQUIA,CAÑASGORDAS,M,Estrato 1,5 a 6,No,No,A-,39.0,43.0,51.0,47.0,42.0,226.0
20122,SB11201220472158,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,CUNDINAMARCA,GIRARDOT,F,Estrato 3,Cuatro,Si,No,A-,43.0,43.0,,,,
20122,SB11201220032563,URBANO,N,A,MIXTO,TARDE,OFICIAL,SUCRE,SINCELEJO,M,Estrato 1,Seis,No,No,A-,39.0,52.0,,,,
20132,SB11201320143370,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,MEDELLÍN,M,Estrato 3,Tres,Si,Si,A1,51.0,46.0,,,,
20172,SB11201720382617,URBANO,N,A,MIXTO,COMPLETA,OFICIAL,CESAR,GONZALEZ,F,Estrato 2,3 a 4,No,No,A1,50.0,62.0,64.0,65.0,72.0,323.0
20112,SB11201120435064,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CESAR,VALLEDUPAR,F,Estrato 1,Tres,Si,No,A-,41.0,27.0,,,,
20162,SB11201620282325,URBANO,N,A,MIXTO,MAÑANA,NO OFICIAL,TOLIMA,IBAGUE,M,Estrato 4,Cuatro,Si,Si,A2,59.0,58.0,57.0,59.0,54.0,286.0
20102,SB11201020562890,URBANO,N,A,MIXTO,SABATINA,NO OFICIAL,SUCRE,LOS PALMITOS,F,Estrato 1,Cuatro,No,No,A-,40.54,45.38,,,,
20162,SB11201620291077,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,PUERTO SALGAR,F,Estrato 1,Tres,Si,No,A1,53.0,54.0,56.0,56.0,54.0,273.0
20112,SB11201120354522,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOGOTA,BOGOTÁ D.C.,M,Estrato 1,Nueve,No,No,A-,34.0,32.0,,,,
20152,SB11201520201473,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,MAGDALENA,SANTA MARTA,F,Estrato 1,Cinco,Si,Si,A-,37.0,45.0,31.0,34.0,36.0,183.0
20132,SB11201320010445,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,NARIÑO,EL PEÑOL,M,Estrato 1,Cinco,No,No,A1,48.0,57.0,,,,
20102,SB11201020148277,RURAL,N,A,MIXTO,COMPLETA,NO OFICIAL,ANTIOQUIA,RETIRO,M,Estrato 5,Cinco,Si,Si,A2,62.94,50.82,,,,
20112,SB11201120029201,URBANO,N,A,MIXTO,NOCHE,OFICIAL,SUCRE,SINCELEJO,M,Estrato 1,Tres,No,No,A-,41.0,41.0,,,,
20172,SB11201720471999,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,GACHETA,M,Estrato 2,3 a 4,Si,No,B1,71.0,69.0,68.0,68.0,68.0,342.0
20152,SB11201520016763,URBANO,N,A,MIXTO,NOCHE,OFICIAL,ATLANTICO,BARRANQUILLA,F,Estrato 2,Cinco,No,No,A-,37.0,42.0,43.0,43.0,47.0,216.0
20112,SB11201120243853,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,VALLE,YUMBO,M,Estrato 2,Cuatro,Si,Si,A-,41.0,63.0,,,,
20112,SB11201120512107,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ARAUCA,TAME,F,Estrato 2,Cinco,Si,No,A1,49.0,59.0,,,,
20194,SB11201940599828,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ATLANTICO,BARRANQUILLA,F,Estrato 3,7 a 8,No,No,A-,34.0,31.0,29.0,50.0,38.0,184.0
20194,SB11201940599828,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ATLANTICO,BARRANQUILLA,F,Estrato 3,7 a 8,No,No,A-,34.0,31.0,29.0,50.0,38.0,184.0
20102,SB11201020487272,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,SOACHA,F,Estrato 1,Cinco,No,No,A-,47.15,45.38,,,,
20102,SB11201020453490,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,CORDOBA,MONTERÍA,M,Estrato 1,Tres,No,No,A-,44.51,39.25,,,,
20152,SB11201520040721,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CALDAS,CHINCHINA,F,Estrato 2,Tres,Si,Si,A1,52.0,49.0,48.0,49.0,48.0,244.0
20162,SB11201620455805,URBANO,,A,MIXTO,COMPLETA,OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 2,Siete,Si,Si,A1,57.0,59.0,60.0,59.0,52.0,286.0
20132,SB11201320438685,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CAUCA,SUCRE,F,Estrato 1,Tres,No,No,A-,33.0,37.0,,,,
20102,SB11201020180314,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,NARIÑO,PUPIALES,M,Estrato 1,Seis,No,No,A-,46.27,48.17,,,,
20102,SB11201020386705,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOLIVAR,ARJONA,M,Estrato 1,Seis,No,No,A-,44.93,25.02,,,,
20162,SB11201620529768,URBANO,N,A,MIXTO,NOCHE,OFICIAL,VALLE,GUACARI,F,Estrato 1,Tres,No,No,A-,32.0,24.0,35.0,39.0,44.0,177.0
20122,SB11201220142833,URBANO,N,A,MIXTO,SABATINA,OFICIAL,ANTIOQUIA,COPACABANA,F,Estrato 2,Ocho,No,No,A1,43.0,42.0,,,,
20194,SB11201940539754,URBANO,N,A,MIXTO,UNICA,OFICIAL,BOYACA,TUNJA,M,Estrato 2,3 a 4,Si,Si,B1,68.0,66.0,68.0,56.0,70.0,326.0
20194,SB11201940539754,URBANO,N,A,MIXTO,UNICA,OFICIAL,BOYACA,TUNJA,M,Estrato 2,3 a 4,Si,Si,B1,68.0,66.0,68.0,56.0,70.0,326.0
20142,SB11201420558817,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,VALLE,TULUA,F,Estrato 2,Cuatro,Si,Si,A-,36.0,56.0,53.0,43.0,47.0,243.0
20152,SB11201520406210,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,NARIÑO,CHACHAGUI,M,Estrato 1,Cuatro,No,No,A1,54.0,58.0,47.0,66.0,50.0,276.0
20152,SB11201520425957,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,SANTANDER,PUENTE NACIONAL,M,Estrato 2,Cinco,Si,No,A1,57.0,52.0,50.0,50.0,57.0,263.0
20122,SB11201220077704,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,LA GUAJIRA,BARRANCAS,F,Estrato 1,Siete,No,No,A-,27.0,35.0,,,,
20132,SB11201320441643,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,SUESCA,F,Estrato 2,Tres,Si,No,A-,39.0,46.0,,,,
20101,SB11201010012605,URBANO,N,A,MIXTO,NOCHE,NO OFICIAL,CUNDINAMARCA,ZIPAQUIRÁ,F,Estrato 2,Tres,No,No,A1,43.48,40.78,,,,
20172,SB11201720523221,URBANO,N,A,MIXTO,TARDE,NO OFICIAL,BOLIVAR,CARTAGENA,F,Estrato 2,3 a 4,Si,Si,A1,54.0,56.0,68.0,60.0,60.0,302.0
20142,SB11201420273238,URBANO,N,A,MIXTO,MAÑANA,NO OFICIAL,ANTIOQUIA,MEDELLIN,F,Estrato 2,Cinco,Si,Si,A-,48.0,47.0,51.0,52.0,57.0,257.0
20102,SB11201020181767,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,NARIÑO,SAN ANDRÉS DE TUMACO,F,Estrato 1,Seis,No,No,A-,46.27,55.62,,,,
20122,SB11201220563570,URBANO,,A,MIXTO,TARDE,OFICIAL,ANTIOQUIA,MEDELLÍN,F,Estrato 2,Diez,Si,Si,A-,40.0,38.0,,,,
20172,SB11201720128256,RURAL,N,A,MIXTO,TARDE,OFICIAL,ANTIOQUIA,NECOCLI,M,Estrato 4,5 a 6,No,Si,A-,31.0,35.0,45.0,47.0,33.0,197.0
20132,SB11201320318101,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,TOLIMA,COYAIMA,F,Estrato 1,Cuatro,No,No,A-,37.0,40.0,,,,
20194,SB11201940079941,RURAL,,A,MIXTO,UNICA,OFICIAL,ANTIOQUIA,ENVIGADO,M,Estrato 3,5 a 6,Si,Si,B1,68.0,63.0,56.0,61.0,71.0,316.0
20194,SB11201940079941,RURAL,,A,MIXTO,UNICA,OFICIAL,ANTIOQUIA,ENVIGADO,M,Estrato 3,5 a 6,Si,Si,B1,68.0,63.0,56.0,61.0,71.0,316.0
20102,SB11201020527228,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CESAR,AGUACHICA,F,,Cuatro,No,No,A-,40.54,45.38,,,,
20112,SB11201120541677,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOLIVAR,ARROYOHONDO,F,Estrato 1,Cinco,No,No,A-,39.0,31.0,,,,
20194,SB11201940290176,URBANO,N,A,MIXTO,TARDE,OFICIAL,ATLANTICO,MANATÍ,M,Estrato 1,5 a 6,No,No,A-,38.0,48.0,33.0,39.0,40.0,199.0
20194,SB11201940290176,URBANO,N,A,MIXTO,TARDE,OFICIAL,ATLANTICO,MANATÍ,M,Estrato 1,5 a 6,No,No,A-,38.0,48.0,33.0,39.0,40.0,199.0
20102,SB11201020550027,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,META,CASTILLA LA NUEVA,F,Estrato 3,Cinco,No,No,A-,41.66,48.17,,,,
20194,SB11201940080539,URBANO,N,A,FEMENINO,MAÑANA,OFICIAL,ANTIOQUIA,MEDELLÍN,F,Estrato 2,3 a 4,Si,Si,A2,58.0,55.0,46.0,57.0,55.0,268.0
20194,SB11201940080539,URBANO,N,A,FEMENINO,MAÑANA,OFICIAL,ANTIOQUIA,MEDELLÍN,F,Estrato 2,3 a 4,Si,Si,A2,58.0,55.0,46.0,57.0,55.0,268.0
20152,SB11201520435077,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,SUCRE,SINCELEJO,M,Estrato 1,Cuatro,No,No,A-,40.0,52.0,61.0,43.0,53.0,257.0
20142,SB11201420504054,URBANO,,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,MOSQUERA,F,Estrato 3,Seis,Si,Si,A1,53.0,44.0,40.0,44.0,55.0,232.0
20102,SB11201020335359,URBANO,N,A,MIXTO,TARDE,OFICIAL,BOGOTÁ,BOGOTÁ D.C.,M,Estrato 2,Cuatro,Si,Si,A-,47.15,60.51,,,,
20122,SB11201220544116,URBANO,N,A,MIXTO,SABATINA,NO OFICIAL,CORDOBA,MONTERÍA,F,Estrato 1,Tres,No,No,A-,39.0,25.0,,,,
20194,SB11201940204714,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOGOTÁ,BOGOTÁ D.C.,F,Estrato 3,3 a 4,Si,Si,A1,50.0,40.0,34.0,41.0,43.0,202.0
20194,SB11201940204714,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,BOGOTÁ,BOGOTÁ D.C.,F,Estrato 3,3 a 4,Si,Si,A1,50.0,40.0,34.0,41.0,43.0,202.0
20194,SB11201940192561,URBANO,N,A,MIXTO,NOCHE,OFICIAL,GUAVIARE,SAN JOSÉ DEL GUAVIARE,M,Estrato 2,3 a 4,Si,Si,A1,57.0,29.0,52.0,54.0,57.0,243.0
20194,SB11201940192561,URBANO,N,A,MIXTO,NOCHE,OFICIAL,GUAVIARE,SAN JOSÉ DEL GUAVIARE,M,Estrato 2,3 a 4,Si,Si,A1,57.0,29.0,52.0,54.0,57.0,243.0
20172,SB11201720086838,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CHOCO,QUIBDO,F,Estrato 1,7 a 8,No,No,A-,44.0,36.0,42.0,44.0,51.0,217.0
20132,SB11201320378804,URBANO,S,A,MIXTO,MAÑANA,NO OFICIAL,VALLE,CALI,F,Estrato 1,Cuatro,Si,Si,A-,39.0,43.0,,,,
20112,SB11201120144749,URBANO,N,A,MIXTO,TARDE,OFICIAL,ANTIOQUIA,EL BAGRE,F,Estrato 1,Siete,No,No,A-,43.0,36.0,,,,
20102,SB11201020522098,URBANO,N,A,MIXTO,TARDE,OFICIAL,VALLE,GUADALAJARA DE BUGA,F,Estrato 2,Cinco,No,No,A-,47.58,45.38,,,,
20194,SB11201940323729,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CORDOBA,TUCHÍN,F,Estrato 1,5 a 6,No,No,A-,41.0,45.0,32.0,35.0,49.0,202.0
20194,SB11201940323729,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CORDOBA,TUCHÍN,F,Estrato 1,5 a 6,No,No,A-,41.0,45.0,32.0,35.0,49.0,202.0
20194,SB11201940073937,RURAL,N,A,MIXTO,COMPLETA,OFICIAL,BOYACA,BOYACÁ,F,Estrato 2,3 a 4,No,No,A-,42.0,49.0,47.0,53.0,51.0,247.0
20194,SB11201940073937,RURAL,N,A,MIXTO,COMPLETA,OFICIAL,BOYACA,BOYACÁ,F,Estrato 2,3 a 4,No,No,A-,42.0,49.0,47.0,53.0,51.0,247.0
20172,SB11201720497467,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,CUNDINAMARCA,CAPARRAPI,F,Estrato 1,3 a 4,No,No,A-,47.0,46.0,43.0,47.0,50.0,233.0
20112,SB11201120312743,URBANO,N,A,MIXTO,COMPLETA,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 3,Cinco,Si,Si,A1,45.0,51.0,,,,
20152,SB11201520328550,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,CESAR,EL PASO,F,Estrato 1,Cuatro,No,No,A-,38.0,38.0,46.0,44.0,41.0,210.0
